Trade,Open Time,Order,Close Time,Open Price,Close Price,Return ($),Balance,Return (Pips),Trade Classification
47,2/16/2012 19:00,Sell,2/16/2012 19:00,0.8356,0.83547,$0.30 ,"$10,104.60 ",1.3,Neutral
48,2/17/2012 9:00,Buy,2/17/2012 10:00,0.8353,0.83385,($15.50),"$10,089.10 ",-14.5,Losing
49,2/21/2012 8:00,Sell,2/21/2012 8:00,0.83468,0.83502,($4.40),"$10,084.70 ",-3.4,Neutral
50,2/21/2012 10:00,Sell,2/21/2012 11:00,0.83433,0.836,($17.70),"$10,067.00 ",-16.7,Losing
51,2/21/2012 18:00,Buy,2/21/2012 18:00,0.83277,0.83509,$22.20 ,"$10,089.20 ",23.2,Winning
52,2/21/2012 20:00,Sell,2/21/2012 21:00,0.83333,0.83108,$21.50 ,"$10,110.70 ",22.5,Winning
53,2/21/2012 22:00,Buy,2/21/2012 22:00,0.83108,0.83316,$19.80 ,"$10,130.50 ",20.8,Winning
54,2/22/2012 1:00,Sell,2/22/2012 1:00,0.83405,0.83458,($6.30),"$10,124.20 ",-5.3,Losing
55,2/22/2012 4:00,Buy,2/22/2012 4:00,0.83274,0.83245,($3.90),"$10,120.30 ",-2.9,Neutral
56,2/22/2012 7:00,Buy,2/22/2012 7:00,0.83093,0.8307,($3.30),"$10,117.00 ",-2.3,Neutral
57,2/23/2012 2:00,Sell,2/23/2012 2:00,0.83071,0.83026,$3.50 ,"$10,120.50 ",4.5,Neutral
58,2/23/2012 19:00,Sell,2/23/2012 19:00,0.83713,0.8374,($3.70),"$10,116.80 ",-2.7,Neutral
59,2/24/2012 9:00,Buy,2/24/2012 9:00,0.83628,0.83615,($2.30),"$10,114.50 ",-1.3,Neutral
60,2/24/2012 15:00,Sell,2/24/2012 15:00,0.83615,0.83548,$5.70 ,"$10,120.20 ",6.7,Winning
61,2/28/2012 13:00,Sell,2/28/2012 13:00,0.83635,0.8352,$10.50 ,"$10,130.70 ",11.5,Winning
62,2/29/2012 12:00,Buy,2/29/2012 14:00,0.83944,0.83749,($20.50),"$10,110.20 ",-19.5,Losing
63,2/29/2012 16:00,Buy,2/29/2012 17:00,0.83404,0.83424,$1.00 ,"$10,111.20 ",2,Neutral
64,2/29/2012 19:00,Sell,2/29/2012 19:00,0.83489,0.83534,($5.50),"$10,105.70 ",-4.5,Neutral
65,3/2/2012 6:00,Sell,3/2/2012 6:00,0.83409,0.83381,$1.80 ,"$10,107.50 ",2.8,Neutral
66,3/2/2012 8:00,Sell,3/2/2012 8:00,0.83358,0.83313,$3.50 ,"$10,111.00 ",4.5,Neutral
67,3/2/2012 10:00,Sell,3/2/2012 10:00,0.83285,0.83366,($9.10),"$10,101.90 ",-8.1,Losing
68,3/2/2012 14:00,Buy,3/2/2012 14:00,0.82926,0.82915,($2.10),"$10,099.80 ",-1.1,Neutral
69,3/4/2012 17:00,Buy,3/4/2012 17:00,0.82866,0.82895,$1.90 ,"$10,101.70 ",2.9,Neutral
70,3/4/2012 20:00,Sell,3/4/2012 20:00,0.82915,0.82958,($5.30),"$10,096.40 ",-4.3,Neutral
71,3/4/2012 22:00,Buy,3/4/2012 22:00,0.82819,0.82782,($4.70),"$10,091.70 ",-3.7,Neutral
72,3/6/2012 22:00,Sell,3/6/2012 22:00,0.81584,0.81612,($3.80),"$10,087.90 ",-2.8,Neutral
73,3/7/2012 16:00,Buy,3/7/2012 16:00,0.81558,0.81627,$5.90 ,"$10,093.80 ",6.9,Winning
74,3/8/2012 10:00,Buy,3/8/2012 11:00,0.8231,0.82396,$7.60 ,"$10,101.40 ",8.6,Winning
75,3/8/2012 17:00,Buy,3/8/2012 17:00,0.82397,0.82401,($0.60),"$10,100.80 ",0.4,Neutral
76,3/8/2012 19:00,Buy,3/8/2012 19:00,0.82381,0.82368,($2.30),"$10,098.50 ",-1.3,Neutral
77,3/9/2012 3:00,Buy,3/9/2012 4:00,0.82393,0.82408,$0.50 ,"$10,099.00 ",1.5,Neutral
78,3/9/2012 9:00,Sell,3/9/2012 9:00,0.82176,0.81958,$20.80 ,"$10,119.80 ",21.8,Winning
79,3/14/2012 10:00,Buy,3/14/2012 10:00,0.81185,0.81108,($8.70),"$10,111.10 ",-7.7,Losing
80,3/14/2012 12:00,Sell,3/14/2012 12:00,0.80911,0.80958,($5.70),"$10,105.40 ",-4.7,Neutral
81,3/15/2012 17:00,Buy,3/15/2012 17:00,0.81885,0.81952,$5.70 ,"$10,111.10 ",6.7,Winning
82,3/15/2012 19:00,Buy,3/15/2012 19:00,0.8187,0.81875,($0.50),"$10,110.60 ",0.5,Neutral
83,3/16/2012 3:00,Buy,3/16/2012 4:00,0.81959,0.81886,($8.30),"$10,102.30 ",-7.3,Losing
84,3/16/2012 6:00,Buy,3/16/2012 6:00,0.81786,0.819,$10.40 ,"$10,112.70 ",11.4,Winning
85,3/16/2012 10:00,Sell,3/16/2012 10:00,0.82374,0.8236,$0.40 ,"$10,113.10 ",1.4,Neutral
86,3/16/2012 16:00,Buy,3/16/2012 16:00,0.8235,0.82385,$2.50 ,"$10,115.60 ",3.5,Neutral
87,3/19/2012 5:00,Buy,3/19/2012 5:00,0.8233,0.8251,$17.00 ,"$10,132.60 ",18,Winning
88,3/21/2012 7:00,Buy,3/21/2012 11:00,0.81685,0.81348,($34.70),"$10,097.90 ",-33.7,Losing
89,3/21/2012 12:00,Sell,3/21/2012 12:00,0.81348,0.81428,($9.00),"$10,088.90 ",-8,Losing
90,3/22/2012 3:00,Sell,3/22/2012 3:00,0.80903,0.808,$9.30 ,"$10,098.20 ",10.3,Winning
91,3/25/2012 22:00,Buy,3/25/2012 23:00,0.8162,0.8165,$2.00 ,"$10,100.20 ",3,Neutral
92,3/26/2012 1:00,Buy,3/26/2012 1:00,0.81575,0.81565,($2.00),"$10,098.20 ",-1,Neutral
93,3/26/2012 2:00,Sell,3/26/2012 2:00,0.81565,0.81593,($3.80),"$10,094.40 ",-2.8,Neutral
94,3/26/2012 18:00,Sell,3/26/2012 18:00,0.8233,0.82191,$12.90 ,"$10,107.30 ",13.9,Winning
95,3/27/2012 0:00,Buy,3/27/2012 0:00,0.82146,0.82183,$2.70 ,"$10,110.00 ",3.7,Neutral
96,3/27/2012 4:00,Sell,3/27/2012 4:00,0.82398,0.82478,($9.00),"$10,101.00 ",-8,Losing
97,3/27/2012 10:00,Buy,3/27/2012 10:00,0.82129,0.82092,($4.70),"$10,096.30 ",-3.7,Neutral
98,3/27/2012 23:00,Sell,3/27/2012 23:00,0.81903,0.81806,$8.70 ,"$10,105.00 ",9.7,Winning
99,3/28/2012 3:00,Sell,3/28/2012 3:00,0.81821,0.82065,($25.40),"$10,079.60 ",-24.4,Losing
100,3/30/2012 10:00,Buy,3/30/2012 11:00,0.82046,0.81983,($7.30),"$10,072.30 ",-6.3,Losing
101,4/1/2012 18:00,Sell,4/1/2012 18:00,0.82396,0.82304,$8.20 ,"$10,080.50 ",9.2,Winning
102,4/3/2012 23:00,Sell,4/3/2012 23:00,0.81666,0.81676,($2.00),"$10,078.50 ",-1,Neutral
103,4/4/2012 7:00,Sell,4/4/2012 7:00,0.81417,0.81473,($6.60),"$10,071.90 ",-5.6,Losing
104,4/4/2012 21:00,Sell,4/4/2012 21:00,0.81607,0.81502,$9.50 ,"$10,081.40 ",10.5,Winning
105,4/9/2012 9:00,Sell,4/9/2012 9:00,0.81978,0.81888,$8.00 ,"$10,089.40 ",9,Winning
106,4/9/2012 17:00,Buy,4/9/2012 17:00,0.8214,0.82142,($0.80),"$10,088.60 ",0.2,Neutral
107,4/9/2012 19:00,Buy,4/9/2012 19:00,0.82065,0.82056,($1.90),"$10,086.70 ",-0.9,Neutral
108,4/10/2012 15:00,Sell,4/10/2012 15:00,0.81335,0.81417,($9.20),"$10,077.50 ",-8.2,Losing
109,4/10/2012 18:00,Sell,4/10/2012 18:00,0.81554,0.81482,$6.20 ,"$10,083.70 ",7.2,Winning
110,4/13/2012 10:00,Buy,4/13/2012 12:00,0.8272,0.82426,($30.40),"$10,053.30 ",-29.4,Losing
111,4/13/2012 14:00,Buy,4/13/2012 14:00,0.82375,0.82468,$8.30 ,"$10,061.60 ",9.3,Winning
112,4/13/2012 16:00,Sell,4/13/2012 16:00,0.82352,0.82208,$13.40 ,"$10,075.00 ",14.4,Winning
113,4/15/2012 17:00,Buy,4/15/2012 17:00,0.82208,0.8231,$9.20 ,"$10,084.20 ",10.2,Winning
114,4/15/2012 20:00,Buy,4/15/2012 20:00,0.82136,0.81938,($20.80),"$10,063.40 ",-19.8,Losing
115,4/16/2012 23:00,Sell,4/17/2012 1:00,0.81686,0.81572,$10.40 ,"$10,073.80 ",11.4,Winning
116,4/17/2012 16:00,Buy,4/17/2012 17:00,0.82146,0.82137,($1.90),"$10,071.90 ",-0.9,Neutral
117,4/17/2012 21:00,Sell,4/17/2012 21:00,0.82238,0.82146,$8.20 ,"$10,080.10 ",9.2,Winning
118,4/18/2012 16:00,Buy,4/18/2012 16:00,0.81465,0.81573,$9.80 ,"$10,089.90 ",10.8,Winning
119,4/19/2012 12:00,Sell,4/19/2012 12:00,0.81466,0.81352,$10.40 ,"$10,100.30 ",11.4,Winning
120,4/19/2012 18:00,Sell,4/19/2012 19:00,0.81434,0.81435,($1.10),"$10,099.20 ",-0.1,Neutral
121,4/19/2012 22:00,Buy,4/19/2012 22:00,0.81238,0.8131,$6.20 ,"$10,105.40 ",7.2,Winning
122,4/23/2012 1:00,Sell,4/23/2012 1:00,0.81624,0.8154,$7.40 ,"$10,112.80 ",8.4,Winning
123,4/23/2012 7:00,Buy,4/23/2012 7:00,0.81092,0.81125,$2.30 ,"$10,115.10 ",3.3,Neutral
124,4/27/2012 13:00,Sell,4/27/2012 13:00,0.82215,0.82251,($4.60),"$10,110.50 ",-3.6,Neutral
125,5/1/2012 13:00,Sell,5/1/2012 13:00,0.81571,0.81568,($0.70),"$10,109.80 ",0.3,Neutral
126,5/1/2012 17:00,Buy,5/1/2012 18:00,0.81488,0.81482,($1.60),"$10,108.20 ",-0.6,Neutral
127,5/2/2012 10:00,Buy,5/2/2012 10:00,0.81028,0.80999,($3.90),"$10,104.30 ",-2.9,Neutral
128,5/7/2012 16:00,Buy,5/7/2012 16:00,0.79447,0.79447,($1.00),"$10,103.30 ",0,Neutral
129,5/8/2012 7:00,Sell,5/8/2012 7:00,0.78993,0.7918,($19.70),"$10,083.60 ",-18.7,Losing
130,5/8/2012 13:00,Buy,5/8/2012 13:00,0.78654,0.78842,$17.80 ,"$10,101.40 ",18.8,Winning
131,5/8/2012 19:00,Buy,5/8/2012 21:00,0.78644,0.78497,($15.70),"$10,085.70 ",-14.7,Losing
132,5/8/2012 23:00,Buy,5/9/2012 0:00,0.78473,0.78484,$0.10 ,"$10,085.80 ",1.1,Neutral
133,5/14/2012 8:00,Sell,5/14/2012 8:00,0.77793,0.778,($1.70),"$10,084.10 ",-0.7,Neutral
134,5/14/2012 12:00,Sell,5/14/2012 12:00,0.7795,0.77935,$0.50 ,"$10,084.60 ",1.5,Neutral
135,5/14/2012 16:00,Buy,5/14/2012 17:00,0.77754,0.7769,($7.40),"$10,077.20 ",-6.4,Losing
136,5/14/2012 19:00,Buy,5/14/2012 19:00,0.77639,0.77698,$4.90 ,"$10,082.10 ",5.9,Winning
137,5/17/2012 10:00,Sell,5/17/2012 10:00,0.7635,0.76526,($18.60),"$10,063.50 ",-17.6,Losing
138,5/18/2012 1:00,Buy,5/18/2012 1:00,0.75636,0.75629,($1.70),"$10,061.80 ",-0.7,Neutral
139,5/18/2012 3:00,Sell,5/18/2012 3:00,0.75598,0.7561,($2.20),"$10,059.60 ",-1.2,Neutral
140,5/18/2012 12:00,Buy,5/18/2012 13:00,0.75399,0.75249,($16.00),"$10,043.60 ",-15,Losing
141,5/18/2012 15:00,Buy,5/18/2012 15:00,0.75302,0.75362,$5.00 ,"$10,048.60 ",6,Winning
142,5/20/2012 20:00,Sell,5/20/2012 20:00,0.75772,0.75849,($8.70),"$10,039.90 ",-7.7,Losing
143,5/21/2012 20:00,Sell,5/21/2012 20:00,0.7669,0.76623,$5.70 ,"$10,045.60 ",6.7,Winning
144,5/22/2012 3:00,Sell,5/22/2012 3:00,0.76575,0.76534,$3.10 ,"$10,048.70 ",4.1,Neutral
145,5/22/2012 6:00,Buy,5/22/2012 6:00,0.76104,0.76081,($3.30),"$10,045.40 ",-2.3,Neutral
146,5/22/2012 8:00,Sell,5/22/2012 8:00,0.76175,0.76087,$7.80 ,"$10,053.20 ",8.8,Winning
147,5/22/2012 18:00,Sell,5/22/2012 18:00,0.75424,0.7545,($3.60),"$10,049.60 ",-2.6,Neutral
148,5/22/2012 20:00,Buy,5/22/2012 20:00,0.75214,0.75015,($20.90),"$10,028.70 ",-19.9,Losing
149,5/23/2012 20:00,Buy,5/23/2012 20:00,0.74887,0.75078,$18.10 ,"$10,046.80 ",19.1,Winning
150,5/24/2012 4:00,Buy,5/24/2012 4:00,0.74955,0.74988,$2.30 ,"$10,049.10 ",3.3,Neutral
151,5/24/2012 9:00,Sell,5/24/2012 9:00,0.75578,0.75303,$26.50 ,"$10,075.60 ",27.5,Winning
152,5/28/2012 11:00,Buy,5/28/2012 11:00,0.76008,0.76006,($1.20),"$10,074.40 ",-0.2,Neutral
153,6/1/2012 2:00,Sell,6/1/2012 2:00,0.75239,0.75183,$4.60 ,"$10,079.00 ",5.6,Winning
154,6/6/2012 9:00,Buy,6/6/2012 9:00,0.76034,0.76479,$43.50 ,"$10,122.50 ",44.5,Winning
155,6/6/2012 12:00,Sell,6/6/2012 12:00,0.7679,0.76875,($9.50),"$10,113.00 ",-8.5,Losing
156,6/6/2012 21:00,Buy,6/6/2012 21:00,0.76883,0.77108,$21.50 ,"$10,134.50 ",22.5,Winning
157,6/7/2012 7:00,Sell,6/7/2012 7:00,0.77214,0.77365,($16.10),"$10,118.40 ",-15.1,Losing
158,6/7/2012 21:00,Sell,6/7/2012 21:00,0.76566,0.76388,$16.80 ,"$10,135.20 ",17.8,Winning
159,6/8/2012 2:00,Buy,6/8/2012 2:00,0.7625,0.76318,$5.80 ,"$10,141.00 ",6.8,Winning
160,6/8/2012 11:00,Sell,6/8/2012 11:00,0.76734,0.76702,$2.20 ,"$10,143.20 ",3.2,Neutral
161,6/8/2012 14:00,Sell,6/8/2012 14:00,0.76912,0.76949,($4.70),"$10,138.50 ",-3.7,Neutral
162,6/11/2012 6:00,Buy,6/11/2012 6:00,0.77384,0.77413,$1.90 ,"$10,140.40 ",2.9,Neutral
163,6/11/2012 10:00,Buy,6/11/2012 10:00,0.77307,0.77278,($3.90),"$10,136.50 ",-2.9,Neutral
164,6/11/2012 13:00,Sell,6/11/2012 13:00,0.7725,0.77205,$3.50 ,"$10,140.00 ",4.5,Neutral
165,6/11/2012 16:00,Buy,6/11/2012 16:00,0.76894,0.76887,($1.70),"$10,138.30 ",-0.7,Neutral
166,6/11/2012 19:00,Buy,6/11/2012 19:00,0.76759,0.76852,$8.30 ,"$10,146.60 ",9.3,Winning
167,6/13/2012 12:00,Buy,6/13/2012 12:00,0.77791,0.77851,$5.00 ,"$10,151.60 ",6,Winning
168,6/13/2012 15:00,Buy,6/13/2012 15:00,0.77754,0.77465,($29.90),"$10,121.70 ",-28.9,Losing
169,6/13/2012 17:00,Buy,6/13/2012 17:00,0.7726,0.77602,$33.20 ,"$10,154.90 ",34.2,Winning
170,6/15/2012 5:00,Sell,6/15/2012 5:00,0.78585,0.78533,$4.20 ,"$10,159.10 ",5.2,Winning
171,6/15/2012 15:00,Sell,6/15/2012 15:00,0.78999,0.78925,$6.40 ,"$10,165.50 ",7.4,Winning
172,6/18/2012 2:00,Sell,6/18/2012 2:00,0.79333,0.79326,($0.30),"$10,165.20 ",0.7,Neutral
173,6/18/2012 9:00,Buy,6/18/2012 9:00,0.78905,0.79108,$19.30 ,"$10,184.50 ",20.3,Winning
174,6/19/2012 19:00,Buy,6/19/2012 19:00,0.79656,0.79523,($14.30),"$10,170.20 ",-13.3,Losing
175,6/22/2012 4:00,Buy,6/22/2012 4:00,0.78478,0.78676,$18.80 ,"$10,189.00 ",19.8,Winning
176,6/22/2012 8:00,Sell,6/22/2012 8:00,0.78946,0.78876,$6.00 ,"$10,195.00 ",7,Winning
177,6/22/2012 10:00,Sell,6/22/2012 10:00,0.7904,0.78966,$6.40 ,"$10,201.40 ",7.4,Winning
178,6/24/2012 23:00,Sell,6/24/2012 23:00,0.78679,0.78777,($10.80),"$10,190.60 ",-9.8,Losing
179,6/25/2012 21:00,Sell,6/25/2012 21:00,0.78883,0.78947,($7.40),"$10,183.20 ",-6.4,Losing
180,6/28/2012 4:00,Buy,6/28/2012 4:00,0.79244,0.79194,($6.00),"$10,177.20 ",-5,Losing
181,6/28/2012 17:00,Sell,6/28/2012 17:00,0.78792,0.78768,$1.40 ,"$10,178.60 ",2.4,Neutral
182,6/29/2012 11:00,Sell,6/29/2012 11:00,0.80371,0.80243,$11.80 ,"$10,190.40 ",12.8,Winning
183,7/1/2012 19:00,Sell,7/1/2012 19:00,0.80041,0.80133,($10.20),"$10,180.20 ",-9.2,Losing
184,7/9/2012 8:00,Sell,7/9/2012 8:00,0.79398,0.79438,($5.00),"$10,175.20 ",-4,Neutral
185,7/10/2012 4:00,Sell,7/10/2012 4:00,0.79453,0.79681,($23.80),"$10,151.40 ",-22.8,Losing
186,7/10/2012 22:00,Sell,7/10/2012 22:00,0.7946,0.79511,($6.10),"$10,145.30 ",-5.1,Losing
187,7/12/2012 1:00,Sell,7/12/2012 1:00,0.79299,0.79179,$11.00 ,"$10,156.30 ",12,Winning
188,7/12/2012 6:00,Buy,7/12/2012 7:00,0.78862,0.78791,($8.10),"$10,148.20 ",-7.1,Losing
189,7/22/2012 20:00,Buy,7/22/2012 21:00,0.79636,0.7948,($16.60),"$10,131.60 ",-15.6,Losing
190,7/24/2012 12:00,Buy,7/24/2012 15:00,0.78732,0.78643,($9.90),"$10,121.70 ",-8.9,Losing
191,7/24/2012 17:00,Buy,7/24/2012 17:00,0.78388,0.78429,$3.10 ,"$10,124.80 ",4.1,Neutral
192,7/24/2012 21:00,Buy,7/24/2012 21:00,0.78158,0.78138,($3.00),"$10,121.80 ",-2,Neutral
193,7/25/2012 9:00,Sell,7/25/2012 9:00,0.78883,0.78724,$14.90 ,"$10,136.70 ",15.9,Winning
194,7/26/2012 20:00,Buy,7/26/2012 20:00,0.79978,0.7995,($3.80),"$10,132.90 ",-2.8,Neutral
195,7/27/2012 5:00,Buy,7/27/2012 5:00,0.80157,0.80375,$20.80 ,"$10,153.70 ",21.8,Winning
196,8/1/2012 10:00,Buy,8/1/2012 10:00,0.8107,0.81227,$14.70 ,"$10,168.40 ",15.7,Winning
197,8/2/2012 13:00,Buy,8/2/2012 13:00,0.80855,0.80805,($6.00),"$10,162.40 ",-5,Neutral
198,8/6/2012 4:00,Buy,8/6/2012 4:00,0.81667,0.81749,$7.20 ,"$10,169.60 ",8.2,Winning
199,8/6/2012 6:00,Sell,8/6/2012 6:00,0.81709,0.81752,($5.30),"$10,164.30 ",-4.3,Neutral
200,8/6/2012 11:00,Sell,8/6/2012 11:00,0.82122,0.82153,($4.10),"$10,160.20 ",-3.1,Neutral
201,8/6/2012 16:00,Buy,8/6/2012 17:00,0.81993,0.81974,($2.90),"$10,157.30 ",-1.9,Neutral
202,8/6/2012 20:00,Buy,8/6/2012 20:00,0.8194,0.82031,$8.10 ,"$10,165.40 ",9.1,Winning
203,8/6/2012 22:00,Sell,8/6/2012 22:00,0.82174,0.8214,$2.40 ,"$10,167.80 ",3.4,Neutral
204,8/7/2012 16:00,Buy,8/7/2012 16:00,0.81458,0.81551,$8.30 ,"$10,176.10 ",9.3,Winning
205,8/7/2012 17:00,Sell,8/7/2012 17:00,0.81551,0.81548,($0.70),"$10,175.40 ",0.3,Neutral
206,8/7/2012 23:00,Buy,8/8/2012 1:00,0.81342,0.8129,($6.20),"$10,169.20 ",-5.2,Losing
207,8/8/2012 3:00,Buy,8/8/2012 3:00,0.81221,0.81423,$19.20 ,"$10,188.40 ",20.2,Winning
208,8/8/2012 17:00,Sell,8/8/2012 17:00,0.81566,0.81526,$3.00 ,"$10,191.40 ",4,Neutral
209,8/14/2012 19:00,Sell,8/14/2012 19:00,0.80474,0.80469,($0.50),"$10,190.90 ",0.5,Neutral
210,8/14/2012 21:00,Buy,8/14/2012 21:00,0.80386,0.80437,$4.10 ,"$10,195.00 ",5.1,Winning
211,8/15/2012 1:00,Sell,8/15/2012 1:00,0.80533,0.8051,$1.30 ,"$10,196.30 ",2.3,Neutral
212,8/15/2012 4:00,Buy,8/15/2012 4:00,0.80393,0.8053,$12.70 ,"$10,209.00 ",13.7,Winning
213,8/15/2012 20:00,Sell,8/15/2012 20:00,0.80668,0.80788,($13.00),"$10,196.00 ",-12,Losing
214,8/16/2012 17:00,Buy,8/16/2012 17:00,0.80931,0.81083,$14.20 ,"$10,210.20 ",15.2,Winning
215,8/16/2012 23:00,Buy,8/16/2012 23:00,0.8107,0.81055,($2.50),"$10,207.70 ",-1.5,Neutral
216,8/17/2012 5:00,Sell,8/17/2012 5:00,0.80848,0.80804,$3.40 ,"$10,211.10 ",4.4,Neutral
217,8/20/2012 1:00,Sell,8/20/2012 1:00,0.80934,0.80844,$8.00 ,"$10,219.10 ",9,Winning
218,8/21/2012 17:00,Sell,8/21/2012 17:00,0.80999,0.81086,($9.70),"$10,209.40 ",-8.7,Losing
219,8/22/2012 2:00,Sell,8/22/2012 2:00,0.80799,0.80855,($6.60),"$10,202.80 ",-5.6,Losing
220,8/22/2012 20:00,Sell,8/22/2012 21:00,0.81569,0.81795,($23.60),"$10,179.20 ",-22.6,Losing
221,8/23/2012 9:00,Buy,8/23/2012 10:00,0.81533,0.81634,$9.10 ,"$10,188.30 ",10.1,Winning
